grid_id,g_lat,g_lon,g_temp_median,g_temp_p25,g_temp_p75,g_rf_median,g_rf_p25,g_rf_p75,g_soil_light,g_soil_medium,g_soil_heavy
1,6.5,81.5,33.41543013446664,31.27103255667664,35.48393252853969,1159.541935412503,389.32483849594905,3003.523706332383,0.0,1.0,0.0
3,7.5,81.5,33.71904255383061,31.57005674672256,35.58996770513541,1191.397062905271,393.5852071045406,3287.410888225005,0.0,1.0,1.0
4,7.5,99.5,30.04610707997472,25.936163367643307,32.844623555270935,1162.3547574250558,380.5206751753933,2248.301839408549,0.0,1.0,1.0
5,8.5,77.5,33.496704,32.43022,34.598602,1023.603729,293.97149829,2703.80107275,0.0,1.0,0.0
8,8.5,99.5,29.955755819869403,25.87411402609172,32.71322782303012,1133.3095019438797,376.06524396272016,2124.12462302315,0.0,1.0,1.0
9,9.5,76.5,31.756561,30.788004,33.09576,2865.3367008,758.0594196000001,7053.6222720000005,1.0,1.0,0.0
10,9.5,77.5,32.197372,31.05753,33.38449,1266.4391475,254.16572991,4802.2822485,0.0,1.0,0.0
11,9.5,78.5,33.234764,31.251812,34.795876,1709.1763179,568.7853012,5052.1215345,0.0,1.0,0.0
12,9.5,80.5,34.23181049486585,31.9940221175166,36.06134456844091,1324.5109727498757,418.241871499309,4156.12735478406,0.0,1.0,0.0
13,9.5,98.5,30.01668898314008,26.008657807069334,32.5650359390724,1049.5662960333057,359.1766283045292,1974.6413178661849,0.0,1.0,1.0
14,10.5,76.5,29.226086,28.206032,30.854225,1709.179191,430.4412723,6135.763629,0.0,1.0,0.0
15,10.5,77.5,30.330547,28.537369,31.865974,2026.2914181,801.36632385,5653.635489,0.0,1.0,0.0
16,10.5,78.5,33.293777,30.913467,34.91985,1929.6458424,523.0182456,3953.59422,0.0,1.0,0.0
17,10.5,79.5,34.177597,31.785837,35.921467,1357.0740515999998,604.027917,4831.753941,0.0,1.0,0.0
18,10.5,98.5,29.93086630298265,25.942523630777632,32.52085432448349,1029.138307626984,354.5456986939337,1831.5512685937028,0.0,1.0,1.0
19,11.5,76.5,28.81975,27.815996,30.926886,1098.0,512.4,2049.6,0.0,1.0,0.0
20,11.5,77.5,28.935335,27.602068,30.942635,1173.5664462,191.1872919,3195.942378,0.0,1.0,0.0
21,11.5,78.5,34.65342,31.710121,36.39795,2510.878584,529.6180125000001,4450.21047,0.0,1.0,0.0
22,11.5,79.5,34.2876,31.691895,35.96942,749.9329935000001,176.31482151,4534.4247825,0.0,1.0,0.0
23,11.5,99.5,29.692837698044404,25.694896070441867,32.492446597252815,1068.0062048467178,362.4670846151304,1772.3247490958863,0.0,1.0,1.0
24,12.5,75.5,30.059132,28.119604,32.40754,2869.1311875,919.7024778,6882.596694,0.0,1.0,0.0
25,12.5,76.5,27.515026,26.407642,30.030882,1002.383964,240.12096852,3388.284711,0.0,1.0,0.0
26,12.5,77.5,30.303223,28.65893,32.423073,857.7481755,240.43734075,2320.335873,0.0,1.0,0.0
29,12.5,98.5,29.788774028837448,25.8438570538078,32.33741081415927,1007.7418654785954,346.8951715176074,1580.0445547732993,0.0,1.0,1.0
30,12.5,99.5,29.619843212189394,25.647298898071146,32.41937437209321,1054.2307483032484,358.3097032661471,1643.2671699665248,0.0,1.0,1.0
31,13.5,75.5,29.876299,27.941074,32.677002,2523.8223021,942.4700568,6336.0841215,0.0,1.0,0.0
32,13.5,76.5,29.593777,28.181376,32.795944,1262.8447347,321.3435165,4365.196356,0.0,1.0,0.0
33,13.5,77.5,30.179825,28.936783,33.080807,1233.6264972,300.01044156,3594.662412,0.0,1.0,0.0
36,13.5,98.5,29.70234168750312,25.78861044495888,32.18670485692194,1010.7889872360143,344.578063980702,1539.965213641909,0.0,1.0,1.0
37,13.5,99.5,29.55878392970564,25.61557006420808,32.31623413427513,1044.9487379422255,354.48222356590946,1518.1730139936826,0.0,1.0,1.0
38,14.5,74.5,31.302696,29.538477,33.53548,5460.393162,1026.675384,12938.73318,0.0,1.0,0.0
39,14.5,75.5,30.276955,28.785175,33.48106,1178.7530688,362.08350903,3887.012781,0.0,1.0,0.0
40,14.5,76.5,30.21458,28.586887,33.426147,1034.7371561999998,323.79779355,2753.85834375,0.0,1.0,0.0
41,14.5,77.5,32.01659,30.494411,35.118458,723.0249114,220.38299478,2478.1261041,0.0,1.0,0.0
44,14.5,98.5,29.590589902074026,25.711506335370093,32.02527357179067,1024.4163607711794,343.6859177106854,1557.026372579115,0.0,1.0,1.0
45,14.5,99.5,29.48330418897076,25.581841456385643,32.19237470294853,1043.3019038683797,351.50314979020243,1438.8794391318363,0.0,1.0,1.0
46,15.5,74.5,31.773598,29.993029,33.79538,4005.595134,1227.5643477,12405.977175,0.0,1.0,0.0
47,15.5,75.5,31.43458,29.977955,34.707382,893.2611372,299.97404652,2130.4985355,0.0,1.0,0.0
48,15.5,76.5,32.015778,30.412693,35.723427,1107.3055317,238.65371844,4553.320722,0.0,1.0,0.0
49,15.5,77.5,32.767,31.401894,36.45098,1368.2962704,403.0844376,3848.804211,0.0,1.0,0.0
50,15.5,78.5,34.164207,32.236732,37.036854,1331.1820953,471.3725895,4014.26562825,0.0,1.0,0.0
51,15.5,79.5,34.263077,32.130398,36.64749,1429.0809648,436.0864746,4217.5423485,0.0,1.0,1.0
52,15.5,98.5,29.51613611771037,25.675307154500224,31.8742024723032,1044.1832115485608,343.9798875880606,1571.0622799040425,0.0,1.0,1.0
54,16.5,73.5,32.27584,30.55038,33.637466,7095.880266000001,2829.312858,16702.103658,0.0,1.0,0.0
55,16.5,74.5,31.585018,29.848482,34.32468,1215.1107402,337.996539375,3426.0289185,0.0,1.0,0.0
56,16.5,75.5,31.538977,29.942263,35.077377,706.6747581,247.70535045000003,2218.089747,0.0,1.0,0.0
57,16.5,76.5,32.27507,30.718025,36.055866,687.9126648,246.5541432,2111.023218,0.0,1.0,0.0
58,16.5,77.5,32.60821,31.073946,36.23381,1137.4857819,367.31286945,3007.7461845000003,0.0,1.0,0.0
59,16.5,78.5,32.746376,31.134796,36.338554,722.3554242,287.40255591,4312.977855,0.0,1.0,0.0
60,16.5,79.5,33.414345,31.403524,35.92826,1313.5883838,158.91399017999998,4962.481638,0.0,1.0,1.0
61,16.5,80.5,33.248703,31.149038,35.32631,1473.6950472,432.0267751500001,4733.188311,0.0,1.0,1.0
62,16.5,81.5,33.15284,30.950335,35.095654,1223.2069896,270.6317094,4683.196554,0.0,1.0,1.0
63,16.5,94.5,29.990729944375413,26.407102404945483,31.833102361651413,1174.0324749207375,361.2043779147479,2266.645863061937,0.0,1.0,1.0
64,16.5,95.5,29.81943292619093,26.20890172914626,31.655886669370062,1139.212538182148,354.26128670461304,2000.5846677861512,0.0,1.0,1.0
65,16.5,96.5,29.672114074578296,26.01230110107013,31.48363784761728,1111.707771927713,349.13681742123765,1949.699371734768,0.0,1.0,1.0
66,16.5,97.5,29.54706875421072,25.824887060536955,31.56030952160777,1085.6913459357952,345.67401289561855,1802.442544953064,0.0,1.0,1.0
67,16.5,98.5,29.45148537988925,25.67135528727741,31.73378466029099,1066.188379523131,345.0378303438393,1565.108211570724,0.0,1.0,1.0
69,17.5,73.5,31.233461,29.638775,33.435627,6545.680701000001,2703.70386315,18162.269808,0.0,1.0,0.0
70,17.5,74.5,31.539944,29.90974,34.509666,877.7941602,137.434022055,1634.49699165,0.0,1.0,0.0
71,17.5,75.5,32.2883,30.596218,35.451683,902.5253475,311.62029645,2970.1095261,0.0,1.0,0.0
72,17.5,76.5,32.52365,30.920185,36.051483,810.7644078000001,236.381454105,3131.1225885000003,0.0,1.0,0.0
73,17.5,77.5,32.58091,31.049644,36.156246,1287.798267,451.722141,4290.184656,0.0,1.0,0.0
74,17.5,78.5,32.6101,31.056131,35.91597,1288.3068972,251.03923896,3653.372838,0.0,1.0,1.0
75,17.5,79.5,32.92272,31.044968,36.14855,1745.438262,576.613419,4852.302828,0.0,1.0,1.0
76,17.5,80.5,32.311012,30.303883,34.907425,1532.6988404999995,402.915309,4657.9024770000005,0.0,1.0,1.0
